Rank,Username,Categories,Suscribers,Country,Visits,Likes,Comments,Links
78,gr6explode,Music,"39,300,000",BR,"120,300","5,700",236,http://youtube.com/channel/UCNUQK9mQoqi4yNXw2_Rj6SA
79,TEDx,Knowledge,"39,100,000",US,160,3,0,http://youtube.com/channel/UCsT0YIqwnpJCM-mx7-gSA4Q
80,GaaneSuneAnsune,Music,"39,100,000",IN,"28,800",211,9,http://youtube.com/channel/UCtW7qWjpCZ8zps-Cf2NF26w
81,shfa-1,Lifestyle_(sociology),"39,100,000",AE,"5,300,000","57,300",0,http://youtube.com/channel/UCwHE1kM1CPJd_pI9FQ0-4dg
82,vladvaniki1,Hobby,"38,700,000",US,"890,600","3,400",0,http://youtube.com/channel/UCcOMTVILq-yIqtFmOqt-QOg
83,TheEllenShow,Television_program,"38,300,000",US,"26,000",433,22,http://youtube.com/channel/UCp0hYYBW6IMayGgR-WeoCvQ
84,DaddyYankee,Music_of_Latin_America,"38,300,000",US,"82,800","6,500",123,http://youtube.com/channel/UC9TO_oo4c_LrOiKNaY6aysA
85,LikeNastya_ESP,Lifestyle_(sociology),"38,100,000",US,"403,800","1,800",0,http://youtube.com/channel/UCpEJRZdSpdVZ8vh63T9I2KQ
86,one31official,Television_program,"38,100,000",TH,"4,800",122,1,http://youtube.com/channel/UC8f7MkX4MFOOJ2SerXLInCA
87,ABPNEWS,Society,"38,100,000",IN,"2,400",59,0,http://youtube.com/channel/UCRWFSbif-RFENbBrSiez1DA
88,MariaClaraeJP,Lifestyle_(sociology),"37,700,000",BR,"1,700,000","10,800",0,http://youtube.com/channel/UCKe6w0exI94U-RzqAyoY1VA
89,YouTube,Association_football,"37,500,000",US,"101,200","3,400",364,http://youtube.com/channel/UCBR8-60-B28hp2BmDPdntcQ
90,PowerKidstv,Film,"37,400,000",IE,"41,700",0,0,http://youtube.com/channel/UCj-SWZSE0AmotGSQ3apROHw
91,Jkk_Entertainment,Entertainment,"37,300,000",IN,"2,300,000","20,100",363,http://youtube.com/channel/UC5tuYcCdiKuF5Y2ZonuarwA
92,UltraBollywood,Film,"37,300,000",IN,"24,300",185,10,http://youtube.com/channel/UCmL1WlDI8UkXDXCXcBQN9CA
93,SaregamaMusic,Music_of_Asia,"37,000,000",IN,"27,300",703,26,http://youtube.com/channel/UC_A7K2dXFsTMAciGmnNxy-Q
94,RicisOfficial1795,Lifestyle_(sociology),"36,900,000",ID,"343,800","27,500",357,http://youtube.com/channel/UC4tS4Q_Cno5JVcIUXxQOOpA
95,beterbocuk,Entertainment,"36,800,000",TR,"1,000,000","54,100",214,http://youtube.com/channel/UC6gVx_vALsYT-z_u1djJbBQ
96,IndiaTV,Politics,"36,700,000",IN,"14,300",255,3,http://youtube.com/channel/UCttspZesZIDEwwpVIgoZtWQ
97,LaGranjaDeZenon,Film,"36,600,000",AR,"599,800","5,200",0,http://youtube.com/channel/UCwpcLKMwiuPg4aqImpGk6Ew
98,tseriesoldisgold,Music_of_Asia,"36,500,000",IN,"41,100","1,200",8,http://youtube.com/channel/UCRm96I5kmb_iGFofE5N691w
99,Ozuna,Hip_hop_music,"36,300,000",PR,"22,700","2,400",76,http://youtube.com/channel/UCjIA3wwhi0QjSOXAZwOXbPA
100,TotalGaming093,Role-playing_video_game,"36,300,000",IN,"1,500,000","129,400","4,900",http://youtube.com/channel/UC5c9VlYTSvBSCaoMu_GI6gQ
101,GenevievesPlayhouse,Hobby,"35,700,000",US,"965,500",824,0,http://youtube.com/channel/UCK5Q72Uyo73uRPk8PmM2A3w
102,TechnoGamerzOfficial,Video_game_culture,"35,600,000",IN,"6,200,000","341,800","16,500",http://youtube.com/channel/UCX8pnu3DYUnx8qy8V_c6oHg
103,RyansWorld,Lifestyle_(sociology),"35,500,000",US,"326,500","2,000",0,http://youtube.com/channel/UChGJGhZ9SOOHvBB0Y4DOO_w
104,markiplier,Action-adventure_game,"35,500,000",US,"2,100,000","126,500","3,800",http://youtube.com/channel/UC7_YxT-KID8kRbqZo7MyscQ
105,tseriesapnapunjab,Music,"35,000,000",IN,"23,300",601,27,http://youtube.com/channel/UCcvNYxWXR_5TjVK7cSCdW-g
106,JingleToons,Entertainment,"35,000,000",IN,"111,400",641,0,http://youtube.com/channel/UCK9F8nycURBsR0YlrBsu1Ag
107,thedonato,Lifestyle_(sociology),"34,700,000",AR,"710,700","42,400",541,http://youtube.com/channel/UCaHEdZtk6k7SVP-umnzifmQ
108,YOLOAVENTURAS,Lifestyle_(sociology),"34,600,000",MX,"1,100,000","73,600",0,http://youtube.com/channel/UCOnIJiQuk1fDSp6p1GCZy3A
109,GeetMP3,Music,"34,500,000",IN,0,0,0,http://youtube.com/channel/UClZF7OsrECe3t_ADrjZEh_Q
110,Rajshri,Film,"34,200,000",IN,"13,700",119,4,http://youtube.com/channel/UCEKWXRsfUHkan-D_ljU8Asw
111,starplus,Entertainment,"34,200,000",IN,"10,500",267,6,http://youtube.com/channel/UC-LPIU24bQXVljUXivKEeRQ
112,jbalvin,Music,"34,200,000",CO,"16,900","1,600",60,http://youtube.com/channel/UCt-k6JwNWHMXDBGm9IYHdsg
113,SSSniperWolf,Lifestyle_(sociology),"34,200,000",US,"1,200,000","34,600","2,100",http://youtube.com/channel/UCpB959t8iPrxQWj7G6n0ctQ
114,Ch3Thailand,Television_program,"34,000,000",TH,"34,500",442,8,http://youtube.com/channel/UC48h7Dst_hX82HxOf3xJw_w
115,vegetta777,Action-adventure_game,"34,000,000",ES,"249,900","19,400",209,http://youtube.com/channel/UCam8T03EOFBsNdR0thrFHdQ
116,NoCopyrightSounds,Electronic_music,"33,600,000",GB,"191,100","6,900",363,http://youtube.com/channel/UC_aEa8K-EOJ3D6gOs7HcyNg
117,KHANDESHIMOVIES,Film,"33,600,000",IN,"758,300","6,200",136,http://youtube.com/channel/UCP84QWij0alw4MvzqzyfOnw
118,babybus,Film,"33,300,000",US,"267,300",623,0,http://youtube.com/channel/UCpYye8D5fFMUPf9nSfgd4bA
119,DisneyMusicVEVO,Music,"33,200,000",US,"276,900","3,200",198,http://youtube.com/channel/UCgwv23FVv3lqh567yagXfNg
120,KarolG,Hip_hop_music,"33,000,000",CO,"74,000","2,700",165,http://youtube.com/channel/UCZuPJZ2kGFdlbQu1qotZaHw
121,WowKidz1,Entertainment,"33,000,000",IN,"17,200",88,0,http://youtube.com/channel/UCN8S4CqMRy6tVKVXvs7Bzeg
122,PANDABOI,Food,"33,000,000",IT,"2,500,000","66,600",183,http://youtube.com/channel/UC0Wju2yvRlfwqraLlz5152Q
123,erosentertainment,Entertainment,"33,000,000",IN,"7,100",93,5,http://youtube.com/channel/UCX52tYZiEh_mHoFja3Veciw
124,gmanetwork,Television_program,"32,900,000",PH,"2,600",83,1,http://youtube.com/channel/UCKL5hAuzgFQsyrsQKgU0Qng
125,LucasandMarcus,Technology,"32,800,000",US,"706,100","23,300",504,http://youtube.com/channel/UCwD4x63A9KC7Si2RuSfg-SA
126,AboFlah,Video_game_culture,"32,700,000",KW,"3,300,000","382,000","11,400",http://youtube.com/channel/UCqq5n-Oe-r1EEHI3yvhVJcA
127,MRINDIANHACKER,Lifestyle_(sociology),"32,600,000",IN,"6,500,000","617,400","26,000",http://youtube.com/channel/UCSiDGb0MnHFGjs4E2WKvShw
128,FrostDiamond,Action_game,"32,600,000",ID,"316,200","13,200",386,http://youtube.com/channel/UC4hGmH5sABOA70D4fGb8qNQ
129,MrBean,Film,"32,400,000",GB,"204,400","1,800",73,http://youtube.com/channel/UCkAGrHCLFmlK3H2kd6isipg
130,WorldwideRecordsBhojpuri,Music_of_Asia,"32,200,000",IN,"44,200","1,600",29,http://youtube.com/channel/UCbomPUMyPHCgrqD5iYnzj1A
131,rezendeevil,Lifestyle_(sociology),"32,200,000",BR,"413,400","15,600",153,http://youtube.com/channel/UCbTVTephX30ZhQF5zwFppBg
132,SMTOWN,Pop_music,"32,200,000",KR,"132,300","12,700",505,http://youtube.com/channel/UCEf_Bc-KVd7onSeifS3py9g
133,PeppaPigOfficial,Television_program,"32,200,000",GB,"110,200",508,0,http://youtube.com/channel/UCAOtE1V7Ots4DjM8JLlrYgg
134,zeenews,Society,"32,100,000",IN,"14,700",231,6,http://youtube.com/channel/UCIvaYmXn910QMdemBG3v1pQ
135,fedevigevani,Technology,"32,000,000",MX,"7,700,000","412,200","17,000",http://youtube.com/channel/UCoQm-PeHC-cbJclKJYJ8LzA
136,dream,Action_game,"31,900,000",US,"3,300,000","309,200","19,000",http://youtube.com/channel/UCTkXRDQl0luXxVQrRQvWS6w
137,GENIALBrightSideSpanish,Lifestyle_(sociology),"31,800,000",MX,"15,500",524,21,http://youtube.com/channel/UCbrd1vu4_7qIE6IPV_dA-OA
138,luisfonsi,Music,"31,600,000",US,"20,800","1,400",67,http://youtube.com/channel/UCxoq-PAQeAdk_zyg8YS0JqA
139,zhong,Entertainment,"31,400,000",US,"2,900,000","118,300",887,http://youtube.com/channel/UCyagEfIN1okQ-s996XAqCFQ
140,MrBeast2,Entertainment,"31,300,000",US,"83,100,000","5,000,000","11,600",http://youtube.com/channel/UC4-79UOlP48-QNGgCko5p2g
141,fallontonight,Television_program,"31,200,000",US,"263,100","3,900",116,http://youtube.com/channel/UC8-Th83bH_thdKZDJCrn88g
142,dianaandromaesp331,Hobby,"31,100,000",US,"403,500",714,0,http://youtube.com/channel/UCqNmJfc7RgMU6hTxOOuCYHQ
143,ShortsBreak_Official,Entertainment,"31,000,000",IN,"8,600,000","503,400",704,http://youtube.com/channel/UCgJ5_1F6yJhYLnyMszUdmUg
144,ImagineDragons,Pop_music,"31,000,000",US,"77,100","10,700",217,http://youtube.com/channel/UCT9zcQNlyht7fRlcjmflRSA
145,vladnikihindi,Lifestyle_(sociology),"30,900,000",US,"897,100","3,400",0,http://youtube.com/channel/UCUMxxg0KvWiSWHUXRPpnKzw
146,AttaHalilintar,Lifestyle_(sociology),"30,600,000",ID,"155,300","7,600",108,http://youtube.com/channel/UCaKLg1ELiX0zTJ6Je3c5esA
147,enaldinho,Entertainment,"30,600,000",BR,"1,800,000","63,400",838,http://youtube.com/channel/UC2bYhAHyaqfWlPXWBVk4BcA
148,toyoraljanahtv,Religion,"30,600,000",JO,"131,100",0,0,http://youtube.com/channel/UCozAuGJZ5MPoijz8IE_1Gtw
149,jacksepticeye,Role-playing_video_game,"30,400,000",IE,"1,600,000","83,400","2,300",http://youtube.com/channel/UCYzPXprvl5Y-Sf0g4vX-m6g
150,TrapNation,Pop_music,"30,400,000",US,"47,800","1,600",60,http://youtube.com/channel/UCa10nxShhzNrCE1o2ZOPztg
151,LittleAngel,Film,"30,400,000",US,"394,800",209,0,http://youtube.com/channel/UCNzsYU0aWwjERj-9Y9HUEng
152,TalkingTom,Film,"30,400,000",US,"201,300",798,0,http://youtube.com/channel/UCm3hAp1m1xlAz0ve_EKAo4g
153,spinninrecords,Electronic_music,"30,200,000",NL,"31,900","1,200",33,http://youtube.com/channel/UCpDJl2EmP7Oh90Vylx0dZtA
154,HUMTV,Entertainment,"30,200,000",PK,"1,100",7,0,http://youtube.com/channel/UCEeEQxm6qc_qaTE7qTV5aLQ
155,Dushyant_kukreja,Film,"30,000,000",IN,"5,900,000","231,000",485,http://youtube.com/channel/UCo6y9hnRawAqtyWhRhblXqg
156,KLBROBijuRithvik1,Entertainment,"29,900,000",IN,"1,600,000","49,800",309,http://youtube.com/channel/UCL5nlHWXVLeOsSjKH2fhmsg
157,DaFuqBoom,Action_game,"29,800,000",US,"52,700,000","1,700,000","82,800",http://youtube.com/channel/UCsSsgPaZ2GSmO6il8Cb5iGA
158,ultrarecords,Music,"29,800,000",US,"15,800",607,21,http://youtube.com/channel/UC4rasfm9J-X4jNl9SvXp8xA
159,zamzamelectronicstradingllc,Lifestyle_(sociology),"29,700,000",AE,"268,700","18,400",489,http://youtube.com/channel/UCrnQFuUabBHaw-BRhPo8xEA
160,AlanChikinChow,Entertainment,"29,700,000",US,"3,600,000","106,500",428,http://youtube.com/channel/UC5gxP-2QqIh_09djvlm9Xcg
161,infobellstamilrhymes,Entertainment,"29,500,000",IN,"1,200,000","17,700",0,http://youtube.com/channel/UCHcn4Ux-sO9nzNu7rDsoQLg
162,Maluma_Official,Music,"29,400,000",US,"226,400","8,500",275,http://youtube.com/channel/UClZuKq2m0Qu-HkopkSBLpEw
163,infobellstelugurhymes,Film,"29,400,000",IN,"271,400","5,600",0,http://youtube.com/channel/UCHvoq_rGmOKJKGId1nD1V4Q
164,adityamovies,Entertainment,"29,400,000",IN,"26,600","1,000",8,http://youtube.com/channel/UCX_uPA_dGf7wXjuMEaSKLJA
165,MashaOso,Film,"29,300,000",MX,"543,200","5,700",0,http://youtube.com/channel/UCuSo4gcgxJRf4Bzu43wwVyg
166,shemaroomovies,Entertainment,"29,200,000",IN,"24,100",242,9,http://youtube.com/channel/UCBOmfqgTZi7yDp4-3Lr_3lA
167,gulshankalra07,Entertainment,"29,200,000",IN,"8,100,000","431,100","1,100",http://youtube.com/channel/UC56dNUTok1pgvpY75CsJQ4Q
168,junya1gou,Humour,"29,000,000",JP,"195,000",924,34,http://youtube.com/channel/UCjp_3PEaOau_nT_3vnqKIvg
169,adityamusic,Music_of_Asia,"28,800,000",IN,"28,200",568,14,http://youtube.com/channel/UCNApqoVYJbYSrni4YsbXzyQ
170,MichaelJackson,Pop_music,"28,800,000",US,"227,300","9,100",0,http://youtube.com/channel/UC5OrDvL9DscpcAstz7JnQGA
171,GoldminesDishoom,Film,"28,700,000",IN,"14,100",167,0,http://youtube.com/channel/UCu7Hg0f3rxqZ6qs-188ZbjQ
172,DrakeOfficial,Music,"28,400,000",US,0,0,0,http://youtube.com/channel/UCByOQJjav0CUDwxCk-jVNRQ
173,KidsRomaShow,Lifestyle_(sociology),"28,200,000",US,"1,200,000","3,100",0,http://youtube.com/channel/UCx790OVgpTC1UVBQIqu3gnQ
174,toycantando,Music,"28,100,000",CO,"426,400","11,700",0,http://youtube.com/channel/UC2xjgvWb9cx5F637XjsUNxw
175,SandeepSeminars,Television_program,"28,000,000",IN,"1,200,000","58,500","4,000",http://youtube.com/channel/UCBqFKDipsnzvJdt6UT0lMIg
176,LankyBox,Film,"28,000,000",US,"346,500","6,300",200,http://youtube.com/channel/UCSf0s2ogUVYpJPuzW1zpAOg
177,bouncepatrol,Music,"27,900,000",AU,"339,300","6,600",0,http://youtube.com/channel/UC56cowXhoqRWHeqfSJkIQaA
178,JYPEntertainment,Music,"27,800,000",KR,"177,700","8,700",668,http://youtube.com/channel/UCaO6TYtlC8U5ttz62hTrZgg
179,nickjr,Film,"27,800,000",US,"109,200",191,0,http://youtube.com/channel/UCUe6ZpY6TJ0no8jI4l2iLxw
180,CrazyXYZ,Lifestyle_(sociology),"27,800,000",IN,"4,200,000","284,100","8,600",http://youtube.com/channel/UCebC4x5l2-PQxg46Ucv9CsA
181,DanTDM,Video_game_culture,"27,800,000",GB,"3,500,000","285,000","52,500",http://youtube.com/channel/UCS5Oz6CHmeoF7vSad0qqXfw
182,wizkhalifa,Hip_hop_music,"27,800,000",US,"87,400","4,100",305,http://youtube.com/channel/UCVp3nfGRxmMadNDuVbJSk8A
183,brentrivera,Entertainment,"27,600,000",US,"6,400,000","154,100","5,000",http://youtube.com/channel/UC56D-IHcUvLVFTX_8NpQMXg
184,NichLmao,Entertainment,"27,500,000",SG,"1,500,000","85,800","1,600",http://youtube.com/channel/UC6VAIqNQBc7ggiqvsOHOBqw
185,GoldminesBollywood,Film,"27,300,000",IN,"8,900",62,2,http://youtube.com/channel/UCOF23vGxkbhN4wl7ROrgXsA
186,renatongarcia,Lifestyle_(sociology),"27,200,000",BR,"748,200","68,800",833,http://youtube.com/channel/UChMJkHCD2wdvSO7CMOuLR-w
187,toypudding,Lifestyle_(sociology),"27,100,000",US,0,0,0,http://youtube.com/channel/UCKqx9r4mrFglauNBJc1L_eg
188,dbillions,Film,"27,100,000",US,"1,000,000",651,0,http://youtube.com/channel/UCi3onjs7UU2Z64i3RrVci-Q
189,Netflix,Film,"27,000,000",US,"202,600","2,200",176,http://youtube.com/channel/UCWOA1ZGywLbqmigxE4Qlvuw
190,RaffyTulfoInAction,Society,"26,800,000",PH,"398,300","5,300",443,http://youtube.com/channel/UCxhygwqQ1ZMoBGQM2yEcNug
191,enchufetv,Entertainment,"26,800,000",EC,"34,300","4,300",17,http://youtube.com/channel/UCoGDh1Xa3kUCpok24JN5DKA
